,Grundlegend,Fundiert,Experte,FÃ¼hrend
1952,0,0.2,0.266666667,0.533333333
1958,0.45323741,0.28057554,0.258992806,0.007194245
1959,0.256198347,0.305785124,0.380165289,0.05785124
1960,0,1,0,0
1961,0.159722222,0.305555556,0.486111111,0.048611111
1963,0.165605096,0.445859873,0.318471338,0.070063694
1964,0.192307692,0.269230769,0.307692308,0.230769231
1965,0.461538462,0.076923077,0.461538462,0
1966,0.278409091,0.375,0.3125,0.034090909
1967,0.224489796,0.534693878,0.216326531,0.024489796
1968,0.212,0.464,0.296,0.028
1969,0.142857143,0.275510204,0.581632653,0
1970,0.325,0.3875,0.225,0.0625
1971,0.223564955,0.489425982,0.268882175,0.018126888
1973,0.53024911,0.252669039,0.202846975,0.014234875
1974,0.483333333,0.291666667,0.216666667,0.008333333
1975,0.410480349,0.3930131,0.174672489,0.021834061
1976,0.444444444,0.408888889,0.146666667,0
1977,0.206060606,0.567676768,0.22020202,0.006060606
1978,0.194630872,0.459731544,0.338926174,0.006711409
1979,0.302949062,0.501340483,0.195710456,0
1980,0.334183673,0.403061224,0.229591837,0.033163265
1981,0.303571429,0.419642857,0.226190476,0.050595238
1982,0.310580205,0.447098976,0.232081911,0.010238908
1983,0.371473354,0.382445141,0.24137931,0.004702194
1984,0.289630513,0.502979738,0.184743743,0.022646007
1985,0.39389313,0.509923664,0.096183206,0
1986,0.43812709,0.423634337,0.127090301,0.011148272
1987,0.431932773,0.43697479,0.131092437,0
1988,0.567493113,0.402203857,0.03030303,0
1989,0.455525606,0.396226415,0.145552561,0.002695418
1990,0.404761905,0.523809524,0.071428571,0
1991,0.555084746,0.38559322,0.059322034,0
1992,0.341463415,0.524390244,0.134146341,0
1993,0.65,0.35,0,0